,車種,車次,始發站,終點站,出發時間,抵達時間,行駛時間,經由,詳細資訊,全票,孩童票,敬老票,訂票
0,區間快,2005,七堵,彰化,04:57,05:23,26 分,山線,詳細,$ 33,$ 17,$ 17,
1,區間,1107,七堵,苗栗,05:03,05:34,31 分,山線,詳細,$ 33,$ 17,$ 17,
2,區間,2133,基隆,嘉義,05:16,05:46,30 分,山線,詳細,$ 33,$ 17,$ 17,
3,自強3000,161,七堵,臺東,05:35,06:00,25 分,山線,詳細,$ 51,$ 26,$ 26,
4,區間,1117,基隆,苗栗,05:42,06:12,30 分,山線,詳細,$ 33,$ 17,$ 17,
5,自強,103,七堵,潮州,06:00,06:27,27 分,海線,詳細,$ 51,$ 26,$ 26,
6,區間,1121,基隆,新竹,06:08,06:38,30 分,-,詳細,$ 33,$ 17,$ 17,
7,區間,4103,宜蘭,北湖,06:17,06:47,30 分,-,詳細,$ 33,$ 17,$ 17,
8,自強,105,基隆,屏東,06:27,06:56,29 分,山線,詳細,$ 51,$ 26,$ 26,
9,區間,2143,基隆,嘉義,06:32,07:02,30 分,山線,詳細,$ 33,$ 17,$ 17,
10,區間快,1007,七堵,鶯歌,06:40,07:09,29 分,-,詳細,$ 33,$ 17,$ 17,
11,區間,4107,羅東,樹林,06:45,07:15,30 分,-,詳細,$ 33,$ 17,$ 17,
12,區間快,2007,基隆,二水,06:50,07:20,30 分,海線,詳細,$ 33,$ 17,$ 17,
13,區間,1127,基隆,苗栗,06:55,07:25,30 分,山線,詳細,$ 33,$ 17,$ 17,
14,區間,1129,基隆,北湖,07:14,07:44,30 分,-,詳細,$ 33,$ 17,$ 17,
15,區間快,4003,蘇澳,樹林,07:21,07:49,28 分,-,詳細,$ 33,$ 17,$ 17,
16,區間,2153,基隆,嘉義,07:26,07:59,33 分,山線,詳細,$ 33,$ 17,$ 17,
17,區間,1135,基隆,北湖,07:37,08:14,37 分,-,詳細,$ 33,$ 17,$ 17,
